ITEMID	CONFIGID	STOCK	FECHAPROX
589204		8	14/03/2020
589204UKR01		38	04/07/2020
589316		15	14/03/2020
590681		105	
590716		62	
591538		4	
591684		2	14/03/2020
591762		2	
591983		0	27/03/2020
593364		55	17/03/2020
593375		0	15/05/2020
593429		7	15/05/2020
593741		39	
594629		1	29/05/2020
594782		1	
594782N		3	29/05/2020
594894		7	
596912		8	
598301		33	04/07/2020
600501		69	06/03/2020
600502		67	06/03/2020
600503		156	04/07/2020
600514		219	04/07/2020
60101		18	04/07/2020
60112		10	04/07/2020
60123		10	04/07/2020
60134		2	04/07/2020
610748R04		1395	
612547R01		2	
612547R02		39	
614082		50	12/06/2020
614082UK		55	
614082UKR01		84	04/07/2020
614157		10	14/03/2020
614157UK		16	
614259		45	04/07/2020
614259UK		49	04/07/2020
614259UKR01		44	04/07/2020
615926		85	04/07/2020
616148R01		70	04/07/2020
618253		17	14/03/2020
618271		7	24/04/2020
618318		21	26/06/2020
618436		15	24/04/2020
618492		2	
618547		31	14/03/2020
618547R01		6	04/07/2020
618609		6	
618716		12	26/06/2020
618859		2	14/03/2020
618914		3	
619007UK		2	
622582		29	
625211		6	
625432		17	04/07/2020
625654		5	
625769		8	
628415		28	
638		90	
641697		35	14/03/2020
641942		8	
642053		55	04/07/2020
646137		15	17/07/2020
648175		13	24/04/2020
648362		60	14/03/2020
648388		2	14/03/2020
648417		10	
648417UK		10	
648436		19	14/03/2020
650195		12	04/07/2020
650274		78	04/07/2020
650319		34	04/07/2020
651320		28	14/03/2020
651431		8	14/03/2020
651542		17	04/07/2020
652043		27	16/03/2020
652138		61	04/07/2020
653422		0	14/03/2020
653422D			04/07/2020
653608		64	14/03/2020
653608R01		64	
653841		6	
654168		91	04/07/2020
654227		6	09/03/2020
654248		9	09/03/2020
654377		29	04/07/2020
654639		38	
654942		18	04/07/2020
657029		15	04/07/2020
661418		6	14/03/2020
661418UK		7	
661457N		12	14/03/2020
661457NUK		18	
661543UK		0	
661565		48	14/03/2020
661565UK		49	
661917		35	04/07/2020
661917UK		35	04/07/2020
661946N		11	16/03/2020
661946NUK		13	
662110		19	14/03/2020
662110UK		19	14/03/2020
662136N		39	14/03/2020
662136NUK		47	
662413		20	24/04/2020
662413UK		22	
662514		1	14/03/2020
662514UK		10	
662536		35	05/06/2020
