idoxatis;sku;nombre;stock;pvpventa;proveedor;ean;pvprecomendado;visible
26127721;74440;Aplique Datna Faro. Iluminacion de Exterior;25;5540;FARO;8421776040779;91,5;1
26128987;74401;Aplique Ancora Faro Gris Oscuro. Iluminación de Exterior.;25;3440;FARO;8421776744011;56,8;1
26129032;71607;Aplique Ceres Faro pequeño. Iluminacion de Exterior;25;4810;FARO;8421776049727;79,5;1
26129033;71608;Aplique Ceres Faro grande. Iluminacion de Exterior;25;7080;FARO;8421776049734;116,9;1
26129783;66208;Aplique Plec Faro Marron. Iluminación de Exterior.;25;13310;FARO;8421776090422;220;1
26129784;66209;Aplique Plec Faro Blanco. Iluminación de Exterior.;25;13310;FARO;8421776090439;220;1
26129786;70582;Aplique Kala Faro blanco. Iluminación LED. 70582;25;7070;FARO;8421776144361;116,8;1
26129787;70583;Aplique Kala Faro Gris. Iluminación LED.;25;7070;FARO;8421776144378;116,8;1
26129788;70648;Aplique Tore Faro Gris. Iluminación LED.;25;10240;FARO;8421776118706;169,1;1
26129793;70579;Aplique Quart Faro Gris. Iluminación exterior LED.;0;12330;FARO;8421776116641;203,7;1
26129802;70823;Aplique Sun Faro gris. Iluminación exterior LED.;25;3220;FARO;8421776092655;53,1;1
26129804;72272;Aplique Bracket Faro gris. Iluminación exterior LED.;25;4630;FARO;8421776090736;76,5;1
26131224;70819;Aplique Baco Faro gris. Iluminación exterior LED.;25;5000;FARO;8421776082861;82,5;1
26131229;72283;Aplique Kami Faro niquel. Iluminación de exterior LED.;25;5440;FARO;8421776083639;89,9;0
26132413;70644;Aplique Aday Faro blanco 6w. Iluminación de exterior LED.;25;4750;FARO;8421776090910;78,45;1
26132424;70645;Aplique Aday Faro gris oscuro 6w. Iluminación de exterior LED.;24;4750;FARO;8421776090927;78,45;1
26132541;70646;Aplique Aday Faro blanco 12w. Iluminación de exterior LED.;25;6230;FARO;8421776090941;102,9;1
26132564;70647;Aplique Aday Faro gris oscuro 12w. Iluminación de exterior LED.;25;6230;FARO;8421776090989;102,9;1
26132866;74419;Aplique Ele Faro gris oscuro. Iluminación de exterior LED.;0;6770;FARO;8421776082632;111,9;1
26132941;71388;Aplique Taima Faro gris oscuro. Iluminación de exterior LED.;25;4240;FARO;8421776089433;70;1
26133047;70405;Aplique kaula Faro niquel 9w. Iluminación de exterior LED.;25;4430;FARO;8421776144958;73,1;1
26133075;70406;Aplique kaula Faro niquel 16w. Iluminación de exterior LED.;25;5320;FARO;8421776144965;87,8;1
26133106;74453;Aplique Kerala Faro gris oscuro. Iluminación de exterior LED.;0;7510;FARO;8421776147232;124,1;1
26136265;70404;Aplique Cobo Faro gris oscuro. Iluminación de exterior LED.;25;6280;FARO;8421776085015;103,8;1
26136282;70635;Aplique Mare Faro gris oscuro. Iluminación de exterior LED.;25;6380;FARO;8421776067196;105,3;1
