referencia;precio
3687;76,05 
3688;95,55 
3689;245,70 
3690;115,05 
3700;214,50 
3701;48,75 
3702;66,30 
3703;105,29 
3704;144,30 
3705;116,99 
3706;206,70 
3707;81,90 
3708;105,29 
3709;273,00 
3710;120,90 
5760;434,85 
5761;329,55 
5762;265,20 
5764;312,00 
5766;156,00 
5767;83,85 
5768;248,39 
6570;259,84 
6571;199,73 
6572;153,19 
6573;133,15 
6574;86,61 
6575;193,27 
5920;368,55 
5921;239,85 
5922;343,20 
5923;226,20 
5876;358,80 
6454;92,66 
1640;208,65 
1641;312,00 
1642;243,75 
1644;148,20 
1645;144,30 
1646;126,75 
1647;48,75 
1648;109,20 
1649;70,20 
1650;97,50 
1651;138,45 
1654;497,25 
1620;216,44 
1621;323,70 
1622;253,50 
1624;154,05 
1625;152,10 
1626;130,66 
1627;50,70 
1628;111,15 
1629;72,15 
1630;105,29 
1631;144,30 
1634;516,75 
3940;232,05 
3941;202,80 
3942;267,15 
3944;111,15 
3945;29,25 
3947;58,50 
3949;52,65 
4070;241,80 
4071;208,65 
4073;157,95 
4074;115,05 
4075;31,20 
4078;40,95 
4079;56,55 
6550;83,20 
6551;88,80 
6552;108,70 
6553;90,30 
6554;110,60 
6555;94,70 
6395;33,00 
6396;33,00 
6398;23,40 
6399;23,40 
3620;254,16 
3621;133,62 
3622;62,45 
3623;236,01 
3624;113,28 
3625;53,74 
3626;161,94 
3627;90,77 
3628;251,26 
6490;103,20 
6492;103,00 
6493;73,20 
6494;55,90 
6495;81,60 
7085;120,06 
7086;111,48 
7087;261,54 
C0083;29,70 
C0084;29,70 
6460;93,90 
5480;42,00 
5481;42,70 
5482;42,00 
5483;42,70 
6160;158,87 
6162;114,97 
6163;114,97 
6164;180,91 
6166;152,99 
6168;116,86 
6169;116,86 
6785;106,86 
6787;151,58 
6230;85,42 
6231;85,42 
6560;190,50 
6561;215,10 
6562;115,00 
6563;301,10 
6564;221,30 
6565;248,90 
5655;97,48 
5656;97,48 
5657;97,48 
6450;85,50 
6451;91,94 
5900;1.164,15 
5901;848,25 
5902;581,10 
5903;393,90 
5905;99,45 
1900;222,30 
1901;202,80 
1902;161,85 
1903;76,05 
1904;52,65 
1905;72,15 
1906;111,15 
1907;315,89 
1908;159,90 
1909;124,80 
1910;222,30 
1911;202,80 
1914;52,65 
1916;111,15 
1918;159,90 
1919;124,80 
1920;232,05 
1921;210,60 
1922;165,75 
1923;81,90 
1924;56,56 
1925;76,05 
1926;115,05 
1927;329,56 
1928;163,80 
1929;128,70 
1937;115,05 
5795;415,34 
5796;280,80 
5797;152,10 
4920;183,72 
4922;145,57 
4924;48,05 
4926;53,00 
4928;89,74 
4930;120,13 
5035;40,28 
4960E;46,70 
4961E;72,88 
4962E;123,82 
4963E;233,50 
5460;195,03 
5461;135,67 
5462;101,75 
5463;89,04 
5464;105,99 
5465;185,84 
5466;72,78 
4921;183,72 
4923;145,57 
4925;48,05 
4927;53,00 
4929;89,74 
4931;120,13 
4968;249,44 
5031;38,86 
5032;43,81 
5033;68,54 
5034;40,28 
4964E;46,70 
4965E;72,88 
4966E;123,82 
4967E;233,50 
6274;119,07 
6000;215,97 
6000K;202,47 
6001;263,21 
6001K;242,96 
6002;215,97 
6002K;202,47 
6003;236,20 
6003K;226,77 
6004;236,20 
6004K;222,72 
6005;107,98 
6005K;91,11 
6006;307,09 
6006K;307,09 
6007;492,68 
6007K;506,17 
6008;95,84 
6008K;95,84 
6009;249,71 
6009K;249,71 
6010;276,71 
6010K;276,71 
5360;201,02 
5361;242,96 
5362;202,47 
5363;249,71 
5364;207,30 
5365;84,80 
5366;95,84 
5707;236,20 
5805;276,71 
5806;290,21 
5807;448,81 
5825;226,77 
5826;202,47 
5827;263,21 
5828;236,20 
5829;215,97 
5830;107,98 
5831;307,09 
5832;492,68 
6600;385,88 
6601;319,99 
6602;468,23 
6603;110,12 
6604;131,76 
6605;371,76 
4980;188,45 
4981;226,14 
4982;202,47 
4983;249,71 
4984;228,44 
4985;91,11 
4986;89,20 
4987;226,77 
4995;215,97 
4996;215,97 
4997;236,20 
4998;263,21 
4999;236,20 
5000;106,63 
5001;276,71 
5002;290,21 
5003;448,81 
5820;307,09 
5821;492,68 
4900;550,17 
6590;344,00 
6591;292,00 
6592;248,00 
6593;210,00 
6594;164,00 
6595;106,00 
6596;116,00 
6597;228,00 
6580;374,00 
6581;320,00 
6582;276,00 
6583;230,00 
6584;184,00 
6585;112,00 
6586;122,00 
6587;256,00 
5878;152,76 
6235;103,24 
6236;145,02 
1540;321,75 
1542;430,95 
1547;95,55 
5740;602,55 
5741;497,25 
5742;302,25 
5746;206,70 
5747;144,30 
5140;384,43 
5141;363,54 
5142;356,57 
5143;128,14 
5144;131,64 
5145;365,63 
5146;369,80 
5147;128,14 
7305;82,78 
7306;152,52 
7307;287,38 
7308;1,76 
TU0492;2,98 
TU0494;2,40 
TU0652;3,58 
TU0653;4,80 
TU0662;3,50 
TU0663;7,90 
3540;245,70 
3541;222,30 
3542;173,55 
3543;234,00 
3545;68,24 
3546;89,70 
3547;58,50 
3548;35,10 
6205;358,78 
6206;231,76 
3530;245,70 
3531;222,30 
3532;173,55 
3533;234,00 
3535;68,24 
3536;89,70 
3537;58,50 
3538;35,10 
6207;358,78 
6208;231,76 
6380;60,20 
6381;64,40 
6382;59,90 
