Family|Reference|Descripition|UnitWeight| UnitLength|UnitHigh|UnitWidth|Dimiter| ExportHigh|ExportWidth|ExportLenght|ExportWeight|ExportVolume|IndividualBoxHigh|IndividualBoxWiidth|IndividualBoxLengh| IndividualBoxVolume|IndividualBoxWeight|IP|ElectricClass|BulbIncluded|BulbDescription|Driver/ballst/transformer_Included |Driver/Transformer/Ballast_Description|Material|Quantity|PVP|Barcode|CustumDutyCode
4         |43531               |ORLEANS PLAFON CROMO 1L GU10                                                                        |,5200|,000000|210,000000|120,000000|120,000000|485,000000|350,000000|580,000000|6,810000|,098455|225,000000|165,000000|185,000000|,006868|,535000||I   |0|1XGU10 MAX. 8W LED                                                                                  |0||CUERPO DE METAL                                                                                     |Available|44,900000|8421776146600                 |9405109890          
4         |43532               |ORLEANS PLAFON BLANCO 2XGU10                                                                        |,8100|,000000|310,000000|120,000000|120,000000|355,000000|340,000000|655,000000|5,300000|,079059|325,000000|165,000000|210,000000|,011261|,800000||I   |0|2XGU10 MAX. 8W LED                                                                                  |0||CUERPO DE METAL                                                                                     |Available|71,600000|8421776146617                 |9405109890          
4         |43533               |ORLEANS PLAFON NEGRO 2XGU10                                                                         |,8100|,000000|310,000000|120,000000|120,000000|475,000000|380,000000|565,000000|,000000|,101983|365,000000|180,000000|220,000000|,014454|,000000||I   |0|2GU10 MAX 8W LED                                                                                    |0||CUERPO DE METAL                                                                                     |Available|71,600000|8421776146624                 |9405109890          
4         |43534               |ORLEANS PLAFON CROMO 2XGU10                                                                         |,8100|,000000|310,000000|120,000000|120,000000|355,000000|340,000000|655,000000|5,300000|,079059|325,000000|165,000000|210,000000|,011261|,800000||I   |0|2G10 MAX 8W LED                                                                                     |0||CUERPO DE METAL                                                                                     |Available|76,600000|8421776146631                 |9405109890          
4         |43535               |ORLEANS PROYECTOR CARRIL BLANCO 1XGU10 LED 8W                                                       |,4000|135,000000|250,000000|170,000000|,000000|250,000000|410,000000|450,000000|8,000000|,046125|222,000000|80,000000|122,000000|,002167|,400000|20                       |I   |0|1XGU10 LED MAX 8W LED                                                                               |0||CUERPO DE METAL                                                                                     |Available|59,900000|8421776165656                 |9405109890          
4         |43536               |ORLEANS PROYECTOR CARRIL NEGRO 1XGU10 8W                                                            |,4000|135,000000|250,000000|170,000000|,000000|250,000000|410,000000|450,000000|8,000000|,046125|222,000000|80,000000|122,000000|,002167|,400000|20                       |I   |0|1XGU10 LED MAX 8W                                                                                   |0||CUERPO DE METAL                                                                                     |Available|59,900000|8421776165663                 |9405109890          
4         |43700               |TROOP BLANCO 1x2W 3000K 30°                                                                         |,0500|36,000000|44,000000|36,000000|,000000|380,000000|180,000000|450,000000|2,500000|,030780|70,000000|85,000000|85,000000|,000506|,050000|20                       |III |1|1x2W 700mA 3000K 210Lm CRI90 30°                                                                    |0||CUERPO DE ALUMINIO Y DIFUSOR DE PC                                                                  |Available|29,800000|8421776166592                 |9405990090          
4         |43701               |TROOP BLANCO 3x2W 3000K 30°                                                                         |,2000|90,000000|44,000000|52,000000|,000000|380,000000|180,000000|450,000000|10,000000|,030780|75,000000|80,000000|130,000000|,000780|,200000|20                       |III |1|3x2W 700mA 3000K 630Lm CRI90 30°                                                                    |0||CUERPO DE ALUMINIO Y DIFUSOR DE PC                                                                  |Available|58,200000|8421776166608                 |9405990090          
4         |43702               |TROOP BLANCO 5x2W 3000K 30°                                                                         |,4000|137,000000|44,000000|52,000000|,000000|425,000000|475,000000|475,000000|20,000000|,095891|80,000000|90,000000|230,000000|,001656|,400000|20                       |III |1|5x2W 700mA 3000K 1050Lm CRI90 30°                                                                   |0||CUERPO DE ALUMINIO Y DIFUSOR DE PC                                                                  |Not Available|79,300000|8421776166615                 |9405990090          
4         |43703               |TROOP BLANCO 10x2W 3000K 30°                                                                        |,6000|257,000000|44,000000|52,000000|,000000|475,000000|360,000000|475,000000|15,000000|,081225|90,000000|90,000000|345,000000|,002795|,600000|20                       |III |1|10x2W 700mA 3000K 2100Lm CRI90 30°                                                                  |0||CUERPO DE ALUMINIO Y DIFUSOR DE PC                                                                  |Available|137,900000|8421776166660                 |9405990090          
