Familia;Referencia;Descripción;Acabado;Fuente de luz; Precio
BAHIA;5240;Pantalla Negra Cuadrada;Negro;;14,70
BAKER;7011;Señalizador exterior LED  IP54;Gris Oscuro;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;20,20
BAKER;7012;Señalizador exterior LED  IP54;Blanco Arena;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;20,20
BAKER;7013;Señalizador exterior LED  IP54;Gris Oscuro;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;20,20
BAKER;7014;Señalizador exterior LED  IP54;Blanco Arena;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;20,20
BAKER;7015;Señalizador exterior LED  IP54;Gris Oscuro;LED 6W - 3000K - 420 LMS - 220-240V~50/60Hz;25,80
BAKER;7016;Señalizador exterior LED  IP54;Blanco Arena;LED 6W - 3000K - 420 LMS - 220-240V~50/60Hz;25,80
BAKER;7017;Señalizador exterior LED  IP54;Gris Oscuro;LED 6W - 3000K - 420 LMS - 220-240V~50/60Hz;25,80
BAKER;7018;Señalizador exterior LED  IP54;Blanco Arena;LED 6W - 3000K - 420 LMS - 220-240V~50/60Hz;25,80
BASICO GU10;C0001;Spot Empotrable;Niquel Sat.+Cromo;1 x GU10 (No Incl.);7,44
BASICO GU10;C0002;Spot Empotrable;Niquel Sat.+Cromo;1 x GU10 (No Incl.);7,44
BASICO GU10;C0003;Spot Empotrable;Blanco Mate;1 x GU10 (No Incl.);7,44
BASICO GU10;C0004;Spot Empotrable;Blanco Mate;1 x GU10 (No Incl.);7,44
BASICO GU10;C0005;Spot Empotrable;Aluminio;1 x GU10 (No Incl.);7,44
BASICO GU10;C0006;Spot Empotrable;Aluminio;1 x GU10 (No Incl.);7,44
BASICO GU10;C0007;Spot Empotrable;Negro Mate;1 x GU10 (No Incl.);7,44
BASICO GU10;C0008;Spot Empotrable;Negro Mate;1 x GU10 (No Incl.);7,44
BOAVISTA;6046;Aplique Lector LED ;Blanco Mate;LED 3W - 3000K - 185 LMS - 100-250V~50/60Hz;35,90
BOAVISTA;6047;Aplique Lector LED ;Negro Mate;LED 3W - 3000K - 185 LMS - 100-250V~50/60Hz;35,90
BOAVISTA;6048;Aplique Lector LED ;Blanco Mate;LED 3W - 3000K - 185 LMS - 100-250V~50/60Hz;35,90
BOAVISTA;6049;Aplique Lector LED ;Negro Mate;LED 3W - 3000K - 185 LMS - 100-250V~50/60Hz;35,90
BOAVISTA;6050;Aplique Lector LED ;Blanco Mate;LED 5W - 3000K - 285 LMS - 100-250V~50/60Hz;45,00
BOAVISTA;6051;Aplique Lector LED ;Negro Mate;LED 5W - 3000K - 285 LMS - 100-250V~50/60Hz;45,00
BOLA;5710;Lámpara ;Cromo;3 x E27 (No Incl.);99,90
BOLA;5711;Pendant Lamp ;Cromo;1 x E27 (No Incl.);59,24
BOLA;5712;Pendant Lamp ;Cromo;1 x E27 (No Incl.);37,20
BOLA;5713;Sobremesa ;Cromo;1 x E27 (No Incl.);36,76
BOMBILLAS E14;R09110;LED E14 5W 3000K 401lm;Blanco;LED 5W - 3000K - 401 LMS - AC 220-240V 50/60Hz;3,94
BOMBILLAS E14;R09111;LED E14 5W 5000K 438lm;Blanco;LED 5W - 5000K - 438 LMS - AC 220-240V 50/60Hz;3,94
BOMBILLAS E14;R09114;LED E14 4W 2700K 470lm;Transparente;LED 4W - 2700K - 470 LMS - AC 220-240V 50/60Hz;2,76
BOMBILLAS E14;R09115;LED E14 4W 2700K 470lm;Transparente;LED 4W - 2700K - 470 LMS - AC 220-240V 50/60Hz;2,72
BOMBILLAS E14;R09116;LED E14 4W 2700K 470lm;Transparente;LED 4W - 2700K - 470 LMS - AC 220-240V 50/60Hz;2,82
BOMBILLAS E14;R09117;LED E14 5.5W 3000K 470lm;Blanco;LED 5.5W - 3000K - 470 LMS - AC 220-240V 50/60Hz;4,28
BOMBILLAS E14;R09118;LED E14 5.5W 5000K 490lm;Blanco;LED 5.5W - 5000K - 490 LMS - AC 220-240V 50/60Hz;4,28
BOMBILLAS E14;R09200;LED E14 5.5W 3000K 470lm;Blanco;LED 5.5W - 3000K - 470 LMS - AC 220-240V 50/60Hz;4,40
BOMBILLAS E14;R09201;LED E14 5.5W 5000K 490lm;Blanco;LED 5.5W - 5000K - 490 LMS - AC 220-240V 50/60Hz;4,40
BOMBILLAS E14;R09208;LED E14 4W 2200K 340lm;Transparente;LED 4W - 2200K - 340 LMS - AC 220-240V 50/60Hz;3,10
BOMBILLAS E14;R09221;LED E14 5.5W 4000K 480lm;Blanco;LED 5.5W - 4000K - 480 LMS - AC 220-240V 50/60Hz;4,28
BOMBILLAS E27;R00141;LED E27 7.5W RGBW;Transparente;LED 7.5W - RGB+3000K - 570 LMS - AC 110-240V 50/60Hz;14,88
BOMBILLAS E27;R09120;LED E27 5W 3000K 413lm;Blanco;LED 5W - 3000K - 413 LMS - AC 220-240V 50/60Hz;3,94
BOMBILLAS E27;R09122;LED E27 14W 3000K 1259lm;Blanco;LED 14W - 3000K - 1259 LMS - AC 220-240V 50/60Hz;10,80
BOMBILLAS E27;R09123;LED E27 14W 5000K 1309lm;Blanco;LED 14W - 5000K - 1309 LMS - AC 220-240V 50/60Hz;10,80
BOMBILLAS E27;R09131;LED E27 7W 2700K 750lm;Transparente;LED 7W - 2700K - 750 LMS - AC 220-240V 50/60Hz;3,20
BOMBILLAS E27;R09132;LED E27 4W 2700K 470lm;Transparente;LED 4W - 2700K - 470 LMS - AC 220-240V 50/60Hz;2,76
BOMBILLAS E27;R09133;LED E27 10W 3000K 810lm;Blanco;LED 10W - 3000K - 810 LMS - AC 220-240V 50/60Hz;3,96
BOMBILLAS E27;R09134;LED E27 10W 5000K 820lm;Blanco;LED 10W - 5000K - 820 LMS - AC 220-240V 50/60Hz;3,96
BOMBILLAS E27;R09135;LED E27 5.5W 3000K 470lm;Blanco;LED 5.5W - 3000K - 470 LMS - AC 220-240V 50/60Hz;4,28
BOMBILLAS E27;R09136;LED E27 5.5W 5000K 490lm ;Blanco;LED 5.5W - 5000K - 490 LMS - AC 220-240V 50/60Hz;4,28
BOMBILLAS E27;R09137;LED E27 11W 3000K 850lm;Blanco;LED 11W - 3000K - 850 LMS - AC 220-240V 50/60Hz;6,64
