"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
28860710;33752;Ventilador Tabarca Faro - blanco 128cm. ?;30;0.00;225,00;8421776166479
28886734;33480+33483;Ventilador Typhoon FARO blanco IP44 130cm ? + Kit de luz;30;0.00;607,60;
28889300;33511;Ventilador Morea FARO - Motor DC sin luz 152cm. ?;30;0.00;525,00;8421776166523
28892366;33349;Ventilador Aoba FARO sin luz 180cm. ?;30;0.00;599,00;8421776166578
28900605;33724;Ventilador Polea FARO - negro sin luz 132cm. ?.;30;0.00;385,00;8421776169630
28908086;33345+33341K;Ventilador Grid Faro - negro + Kit de luz 132cm. ?;30;0.00;470,00;
28908105;33345;Ventilador Grid Faro - negro motor DC 132cm. ?;30;0.00;395,00;8421776170094
28943558;32029;Ventilador Mini Eterfan FARO - rojo motor DC. 128cm. ?;0;323.00;555,30;8421776113794
28943564;32030;Ventilador Mini Eterfan FARO - negro mate pala negra 128cm. ?;0;323.00;555,30;8421776164451
28968052;32005;Ventilador Eterfan FARO - rojo brillo motor DC 128cm. ?;0;343.00;589,90;8421776117280
28968111;32006;Ventilador Eterfan FARO - negro mate motor DC 128cm. ?;30;0.00;589,90;8421776164369
28983512;32038;Ventilador Mini Tube FARO - Blanco brillo. Motor DC. 128cm. ?;30;0.00;518,10;8421776146709
28983523;33393;Ventilador Mini Tube FARO - Cromo brillo. Motor DC. 128cm. ?;30;0.00;518,10;8421776082588
28983529;32039;Ventilador Mini Tube FARO - Blanco mate. Motor DC. 128cm. ?;0;301.00;518,10;8421776146716
28983531;32040;Ventilador Mini Tube FARO - Negro brillo. Motor DC. 128cm. ?;0;301.00;518,10;8421776146723
28983534;32041;Ventilador Mini Tube FARO - Negro mate. aspa transparente 128cm. ?;0;301.00;518,10;8421776146730
28994631;32037;Ventilador Tube FARO - Negro mate. Aspa nogal 128cm. ?;0;323.00;555,30;8421776120273
28995302;32043;Ventilador Mini Tube FARO - Negro mate. aspa negra 128cm. ?;0;301.00;518,10;8421776164567
28995892;33374;Ventilador Tube FARO - Cromo brillo. Motor DC. 128cm. ?;30;0.00;526,10;8421776117419
28995924;32033;Ventilador Tube FARO - Blanco brillo. Motor DC. 128cm. ?;0;323.00;555,30;8421776120235
28995935;32034;Ventilador Tube FARO - Blanco mate. Motor DC. 128cm. ?;0;323.00;555,30;8421776120242
28995949;32035;Ventilador Tube FARO - Negro brillo. Motor DC. 128cm. ?;30;0.00;555,30;8421776120259
28995967;32060;Ventilador Tube FARO - Negro mate. aspa negra 128cm. ?;0;323.00;555,30;8421776168459
28995991;32036;Ventilador Tube FARO - Negro mate. aspa transparente 128cm. ?;0;323.00;555,30;8421776120266
29440667;33471N+33471K;Ventilador Pemba luz LED FARO - blanco Motor DC. 132cm. ?;30;0.00;526,90;
29441181;33491+33491K;Ventilador Pemba luz LED FARO - Gris Motor DC. 132cm. ?;30;0.00;526,90;
29441182;33492+33492K;Ventilador Pemba luz LED FARO - Marron Motor DC. 132cm. ?;30;0.00;550,50;
29441184;33491;Ventilador Pemba FARO - Gris Motor DC. Sin luz 132cm. ?;30;0.00;396,90;8421776167162
29441186;33492;Ventilador Pemba FARO - Marron Motor DC. Sin luz 132cm. ?;30;0.00;420,50;8421776167186
29441191;33471N;Ventilador Pemba FARO - blanco Motor DC. Sin luz 132cm. ?;30;0.00;396,90;8421776167155
