"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
30570434;346109;L?mpara de pie Adame Schuller - Negro y oro 1L. LED;0;0.00;0,00;
30570438;346115;L?mpara de pie Adame Schuller - Blanco y plata 1L. LED;17;0.00;0,00;
30570444;346246;L?mpara de pie Adame Schuller - Blanco y plata 3L. LED;34;0.00;0,00;
30570449;346230;L?mpara de pie Adame Schuller - Negro y oro 3L. LED;98;221.00;;8435435321864
30570451;346357;Sobremesa Flexo Adame Schuller - Negro y oro 1L. LED;26;0.00;0,00;
30571252;346382;Sobremesa Flexo Adame Schuller - Blanco y oro 1L. LED;83;0.00;0,00;
30571271;346573;Aplique pared Adame Schuller - Negro y oro 1L. LED;92;0.00;0,00;
30571280;346596;Aplique pared Adame Schuller - blanco y plata 1L. LED;53;0.00;0,00;
30571281;281275D;Colgante Laris Schuller - acabado cromo  62cm. ?. luz LED;84;0.00;0,00;
30571282;281275;Colgante Laris Schuller - acabado cromo  62cm. ?. luz LED;82;0.00;0,00;
30571295;281360D;Colgante Laris Schuller - acabado cromo  82cm. ?. luz LED;79;0.00;0,00;
30571296;281360;Colgante Laris Schuller - acabado cromo  82cm. ?. luz LED;78;0.00;0,00;
30571349;753321;L?mpara Limus Schuller - acero inoxidable pulido luz LED;7;0.00;0,00;
30571371;346724;L?mpara colgante Adame Schuller - Negro y oro 3L. LED;0;0.00;0,00;
30571374;753319;L?mpara colgante Limus Schuller - ba?o dorado  luz LED;49;0.00;0,00;
30571397;495872;L?mpara Cuadros Schuller - acabado cromo brillo luz LED;2;0.00;0,00;
30571401;495703;L?mpara Cuadros Schuller - acabado cromo brillo luz LED;44;0.00;0,00;
30572300;785194;L?mpara Plafon Quasar Schuller - Con mando 45cm ? LED;48;0.00;0,00;
30572307;785263;L?mpara Plafon Quasar Schuller - Con mando 80cm ? LED;46;0.00;0,00;
30572308;673699;L?mpara Plafon Quasar Schuller - Con mando 80cm ? LED;45;0.00;0,00;
30586523;853804;Cuadro Geisha Schuller - Cuadro fotograf?a impresa Geisha;6;0.00;0,00;
30586638;880138;Cuadro Colores Schuller - Cuadro fotograf?a impresa Colores;0;0.00;0,00;
30586650;921688;Cuadro Simbiosis Schuller - Cuadro fotograf?a impresa;0;0.00;0,00;
30586663;861298;Cuadro Quebrada Schuller - Cuadro fotograf?a impresa;5;0.00;0,00;
30586667;899925;Cuadro Comic Schuller - Cuadro fotograf?a impresa Comic;25;0.00;0,00;
30586674;826198;Cuadro Marea Baja Schuller - Cuadro fotograf?a impresa;11;0.00;0,00;
30586691;775922;Cuadro The Empire State Schuller - Cuadro fotograf?a impresa;30;0.00;0,00;
30593947;729040;Cuadro Rascacielos Schuller - Cuadro fotograf?a impresa;50;0.00;0,00;
30593984;819374;Cuadro Gotica Schuller - Cuadro fotograf?a impresa Gotica;28;0.00;0,00;
30594018;978153;Cuadro Oronegro Schuller - Cuadro fotograf?a impresa;142;0.00;0,00;
30594062;748472;Cuadro Mujer Dorada Schuller - Cuadro fotograf?a impresa;68;0.00;0,00;
30594075;978245;Cuadro ?bano Schuller - Cuadro fotograf?a impresa Ebano;84;0.00;0,00;
30594124;770916;Cuadro Streets Schuller - Cuadro pintura acrilica Schuller;34;0.00;0,00;
30594140;316704;Cuadro Vesta Schuller - Lienzo impreso Vesta de  Schuller;35;0.00;0,00;
30594150;316918;Cuadro Tal?a Schuller - Lienzo impreso Tal?a de  Schuller;9;0.00;0,00;
30594160;421862;Cuadro Himba Schuller - Lienzo impreso Himba de  Schuller;7;0.00;0,00;
