TemplateType=Offer	Version=2014.0703																																																																																																																																																																																																																																																														
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
015-101254	15.96	20	8426107759740	EAN	NEW									3																																																																																																																																																																																																																																																		
015-102021	15.96	20	8426107013774	EAN	NEW									3																																																																																																																																																																																																																																																		
015-189100	15.96	20	8426107013309	EAN	NEW									3																																																																																																																																																																																																																																																		
015-215112	15.96	20	8426107014726	EAN	NEW									3																																																																																																																																																																																																																																																		
015-216001	15.96	20	8426107012678	EAN	NEW									3																																																																																																																																																																																																																																																		
015-216004	15.96	20	8426107012708	EAN	NEW									3																																																																																																																																																																																																																																																		
015-266920	15.96	20	8426107013286	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101062	16.4	20	8426107741233	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112278	16.76	20	8426107369642	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112355	16.76	5	8426107369628	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100894	16.8	20	8426107762535	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100927	16.8	5	8426107004901	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101064	16.8	20	8426107852182	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101070	16.8	20	8426107258359	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101175	17	20	8426107655158	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101176	17	20	8426107655165	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100914	17.2	5	8426107004895	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100897	17.2	20	8426107782533	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101067	17.2	20	8426107852328	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101073	17.2	20	8426107258380	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112320	18.36	20	8426107346797	EAN	NEW									3																																																																																																																																																																																																																																																		
015-166310	18.36	20	8426107166302	EAN	NEW									3																																																																																																																																																																																																																																																		
015-166312	18.36	20	8426107166326	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263110	18.4	20	8426107015525	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263111	18.4	20	8426107015532	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263112	18.4	20	8426107015549	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263113	18.4	20	8426107015556	EAN	NEW									3																																																																																																																																																																																																																																																		
015-263114	18.4	20	8426107015563	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101252	18.6	20	8426107125255	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100824	19	20	8426107012548	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101173	19	20	8426107655134	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101174	19	20	8426107655141	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101183	19	20	8426107932686	EAN	NEW									3																																																																																																																																																																																																																																																		
015-365094	19.16	20	8426107359735	EAN	NEW									3																																																																																																																																																																																																																																																		
015-365096	19.16	20	8426107360724	EAN	NEW									3																																																																																																																																																																																																																																																		
015-266910	19.96	20	8426107013293	EAN	NEW									3																																																																																																																																																																																																																																																		
015-284350	19.96	20	8426107384355	EAN	NEW									3																																																																																																																																																																																																																																																		
015-279130	20	20	8426107279132	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101220	20.76	20	8426107220103	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101223	20.76	20	8426107223111	EAN	NEW									3																																																																																																																																																																																																																																																		
015-102041	20.76	5	8426107010957	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112051	20.76	20	8426107011343	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112091	20.76	20	8426107011336	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112923	20.76	20	8426107011367	EAN	NEW									3																																																																																																																																																																																																																																																		
015-112926	20.76	20	8426107011350	EAN	NEW									3																																																																																																																																																																																																																																																		
015-113188	20.8	20	8426107356277	EAN	NEW									3																																																																																																																																																																																																																																																		
015-113256	20.8	20	8426107356260	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101602	21.2	20	8426107015822	EAN	NEW									3																																																																																																																																																																																																																																																		
